2026-07-20T14:51:11 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=10 run_id=R000021
2026-07-20T14:51:11 | INFO     | executor | Starting run_id=R000021 test_id=T002 scenario_id=S002 attempt=10
2026-07-20T14:51:12 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=10 returned 'crash'; will retry.
2026-07-20T14:51:22 | ERROR    | experiment_runner | scenario=S002 run_no=1 exhausted 10 attempts without a usable outcome.
2026-07-20T14:51:32 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=1 run_id=R000022
2026-07-20T14:51:32 | INFO     | executor | Starting run_id=R000022 test_id=T003 scenario_id=S003 attempt=1
2026-07-20T14:51:34 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T14:51:44 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=2 run_id=R000023
2026-07-20T14:51:44 | INFO     | executor | Starting run_id=R000023 test_id=T003 scenario_id=S003 attempt=2
2026-07-20T14:51:45 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=2 returned 'crash'; will retry.
2026-07-20T14:51:55 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=3 run_id=R000024
2026-07-20T14:51:55 | INFO     | executor | Starting run_id=R000024 test_id=T003 scenario_id=S003 attempt=3
2026-07-20T14:51:57 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=3 returned 'crash'; will retry.
2026-07-20T14:52:07 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=4 run_id=R000025
2026-07-20T14:52:07 | INFO     | executor | Starting run_id=R000025 test_id=T003 scenario_id=S003 attempt=4
2026-07-20T14:52:09 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T14:52:19 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=5 run_id=R000026
2026-07-20T14:52:19 | INFO     | executor | Starting run_id=R000026 test_id=T003 scenario_id=S003 attempt=5
2026-07-20T14:52:21 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=5 returned 'crash'; will retry.
2026-07-20T14:52:31 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=6 run_id=R000027
2026-07-20T14:52:31 | INFO     | executor | Starting run_id=R000027 test_id=T003 scenario_id=S003 attempt=6
2026-07-20T14:52:32 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=6 returned 'crash'; will retry.
2026-07-20T14:52:42 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=7 run_id=R000028
2026-07-20T14:52:42 | INFO     | executor | Starting run_id=R000028 test_id=T003 scenario_id=S003 attempt=7
2026-07-20T14:52:44 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=7 returned 'crash'; will retry.
2026-07-20T14:52:54 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=8 run_id=R000029
2026-07-20T14:52:54 | INFO     | executor | Starting run_id=R000029 test_id=T003 scenario_id=S003 attempt=8
2026-07-20T14:52:56 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=8 returned 'crash'; will retry.
2026-07-20T14:53:06 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=9 run_id=R000030
2026-07-20T14:53:06 | INFO     | executor | Starting run_id=R000030 test_id=T003 scenario_id=S003 attempt=9
2026-07-20T14:53:08 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=9 returned 'crash'; will retry.
2026-07-20T14:53:18 | INFO     | experiment_runner | Executing scenario=S003 run_no=1 attempt_no=10 run_id=R000031
2026-07-20T14:53:18 | INFO     | executor | Starting run_id=R000031 test_id=T003 scenario_id=S003 attempt=10
2026-07-20T14:53:19 | WARNING  | experiment_runner | scenario=S003 run_no=1 attempt_no=10 returned 'crash'; will retry.
2026-07-20T14:53:29 | ERROR    | experiment_runner | scenario=S003 run_no=1 exhausted 10 attempts without a usable outcome.
2026-07-20T14:53:39 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=1 run_id=R000032
2026-07-20T14:53:39 | INFO     | executor | Starting run_id=R000032 test_id=T004 scenario_id=S004 attempt=1
2026-07-20T14:53:41 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=1 returned 'crash'; will retry.
2026-07-20T14:53:51 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=2 run_id=R000033
2026-07-20T14:53:51 | INFO     | executor | Starting run_id=R000033 test_id=T004 scenario_id=S004 attempt=2
2026-07-20T14:53:53 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=2 returned 'crash'; will retry.
2026-07-20T14:54:03 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=3 run_id=R000034
2026-07-20T14:54:03 | INFO     | executor | Starting run_id=R000034 test_id=T004 scenario_id=S004 attempt=3
2026-07-20T14:54:04 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=3 returned 'crash'; will retry.
2026-07-20T14:54:14 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=4 run_id=R000035
2026-07-20T14:54:14 | INFO     | executor | Starting run_id=R000035 test_id=T004 scenario_id=S004 attempt=4
2026-07-20T14:54:16 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T14:54:26 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=5 run_id=R000036
2026-07-20T14:54:26 | INFO     | executor | Starting run_id=R000036 test_id=T004 scenario_id=S004 attempt=5
2026-07-20T14:54:27 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=5 returned 'crash'; will retry.
2026-07-20T14:54:37 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=6 run_id=R000037
2026-07-20T14:54:37 | INFO     | executor | Starting run_id=R000037 test_id=T004 scenario_id=S004 attempt=6
2026-07-20T14:54:39 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=6 returned 'crash'; will retry.
2026-07-20T14:54:49 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=7 run_id=R000038
2026-07-20T14:54:49 | INFO     | executor | Starting run_id=R000038 test_id=T004 scenario_id=S004 attempt=7
2026-07-20T14:54:50 | WARNING  | experiment_runner | scenario=S004 run_no=1 attempt_no=7 returned 'crash'; will retry.
2026-07-20T14:55:00 | INFO     | experiment_runner | Executing scenario=S004 run_no=1 attempt_no=8 run_id=R000039
2026-07-20T14:55:00 | INFO     | executor | Starting run_id=R000039 test_id=T004 scenario_id=S004 attempt=8
