run_id,test_id,scenario_id,avg_cpu_percent,peak_cpu_percent,avg_memory_mb,peak_memory_mb,avg_power_watts,peak_power_watts,energy_joules,energy_wh,idle_energy_joules,net_energy_joules,carbon_intensity_g_per_kwh,estimated_carbon_gco2,measurement_source,measurement_notes,samples_collected
R000017,T002,S002,15.8,31.6,9741.068,9751.699,20.374,28.748,28.8726,0.00802,17.0056,11.867,400.0,0.003208,cpu_tdp_estimation,samples=2; target=system-wide,2
R000018,T002,S002,14.6,29.2,9739.973,9749.613,19.738,27.476,27.772,0.007714,16.8844,10.8876,400.0,0.003086,cpu_tdp_estimation,samples=2; target=system-wide,2
R000019,T002,S002,14.6,29.2,9737.721,9743.195,19.738,27.476,27.6137,0.00767,16.7882,10.8256,400.0,0.003068,cpu_tdp_estimation,samples=2; target=system-wide,2
R000020,T002,S002,16.8,33.6,9740.73,9749.035,20.904,29.808,29.8666,0.008296,17.145,12.7216,400.0,0.003319,cpu_tdp_estimation,samples=2; target=system-wide,2
R000021,T002,S002,15.05,30.1,9736.488,9742.273,19.9765,27.953,28.2832,0.007856,16.9899,11.2933,400.0,0.003143,cpu_tdp_estimation,samples=2; target=system-wide,2
R000022,T003,S003,35.95,61.4,9884.73,9894.594,31.0535,44.542,57.1681,0.01588,22.0915,35.0767,400.0,0.006352,cpu_tdp_estimation,samples=2; target=system-wide,2
R000023,T003,S003,21.25,42.5,9790.439,9802.594,23.2625,34.525,37.78,0.010494,19.4889,18.2911,400.0,0.004198,cpu_tdp_estimation,samples=2; target=system-wide,2
R000024,T003,S003,30.0,60.0,9881.48,9898.855,27.9,43.8,49.6368,0.013788,21.3492,28.2876,400.0,0.005515,cpu_tdp_estimation,samples=2; target=system-wide,2
R000025,T003,S003,22.35,44.7,9276.936,9280.727,23.8455,35.691,36.8896,0.010247,18.5643,18.3253,400.0,0.004099,cpu_tdp_estimation,samples=2; target=system-wide,2
R000026,T003,S003,29.2,58.4,9582.811,9620.289,27.476,42.952,47.716,0.013254,20.8397,26.8763,400.0,0.005302,cpu_tdp_estimation,samples=2; target=system-wide,2
R000027,T003,S003,22.9,45.8,9706.26,9710.527,24.137,36.274,44.2776,0.012299,22.0132,22.2645,400.0,0.00492,cpu_tdp_estimation,samples=2; target=system-wide,2
R000028,T003,S003,30.55,61.1,9580.045,9582.543,28.1915,44.383,52.8801,0.014689,22.509,30.3712,400.0,0.005876,cpu_tdp_estimation,samples=2; target=system-wide,2
R000029,T003,S003,19.75,39.5,9448.09,9467.688,22.4675,32.935,38.6825,0.010745,20.6605,18.022,400.0,0.004298,cpu_tdp_estimation,samples=2; target=system-wide,2
R000030,T003,S003,22.4,44.8,9353.312,9360.199,23.872,35.744,38.0205,0.010561,19.1122,18.9083,400.0,0.004225,cpu_tdp_estimation,samples=2; target=system-wide,2
R000031,T003,S003,24.25,48.5,9335.723,9337.348,24.8525,37.705,41.7624,0.011601,20.1649,21.5975,400.0,0.00464,cpu_tdp_estimation,samples=2; target=system-wide,2
R000032,T004,S004,22.35,44.7,9431.211,9440.465,23.8455,35.691,39.8148,0.01106,20.0364,19.7784,400.0,0.004424,cpu_tdp_estimation,samples=2; target=system-wide,2
R000033,T004,S004,29.1,58.2,9523.105,9576.527,27.423,42.846,48.8995,0.013583,21.3979,27.5016,400.0,0.005433,cpu_tdp_estimation,samples=2; target=system-wide,2
R000034,T004,S004,19.4,38.8,9487.898,9489.02,22.282,32.564,35.146,0.009763,18.9279,16.2181,400.0,0.003905,cpu_tdp_estimation,samples=2; target=system-wide,2
R000035,T004,S004,18.5,37.0,9518.104,9521.34,21.805,31.61,34.2628,0.009517,18.8559,15.4069,400.0,0.003807,cpu_tdp_estimation,samples=2; target=system-wide,2
R000036,T004,S004,19.05,38.1,9487.689,9492.262,22.0965,32.193,33.7071,0.009363,18.3054,15.4017,400.0,0.003745,cpu_tdp_estimation,samples=2; target=system-wide,2
R000037,T004,S004,17.65,35.3,9408.512,9412.812,21.3545,30.709,31.9263,0.008868,17.9407,13.9856,400.0,0.003547,cpu_tdp_estimation,samples=2; target=system-wide,2
R000038,T004,S004,21.05,42.1,9419.527,9426.582,23.1565,34.313,36.4189,0.010116,18.8727,17.5461,400.0,0.004047,cpu_tdp_estimation,samples=2; target=system-wide,2
R000039,T004,S004,16.9,33.8,9560.039,9564.07,20.957,29.914,33.222,0.009228,19.0229,14.199,400.0,0.003691,cpu_tdp_estimation,samples=2; target=system-wide,2
R000040,T004,S004,22.55,45.1,9833.932,9852.953,23.9515,35.903,40.5696,0.011269,20.3259,20.2437,400.0,0.004508,cpu_tdp_estimation,samples=2; target=system-wide,2
R000041,T004,S004,18.9,37.8,9417.436,9421.188,22.017,32.034,34.5334,0.009593,18.8219,15.7115,400.0,0.003837,cpu_tdp_estimation,samples=2; target=system-wide,2
R000042,T005,S005,18.7,37.4,9399.555,9409.625,21.911,31.822,34.7307,0.009647,19.021,15.7097,400.0,0.003859,cpu_tdp_estimation,samples=2; target=system-wide,2
R000043,T005,S005,22.8,45.6,9572.033,9593.238,24.084,36.168,40.589,0.011275,20.2237,20.3653,400.0,0.00451,cpu_tdp_estimation,samples=2; target=system-wide,2
R000044,T005,S005,26.55,53.1,9699.715,9708.941,26.0715,40.143,42.5885,0.01183,19.6023,22.9862,400.0,0.004732,cpu_tdp_estimation,samples=2; target=system-wide,2
R000045,T005,S005,17.25,34.5,9276.412,9282.988,21.1425,30.285,31.9493,0.008875,18.1337,13.8156,400.0,0.00355,cpu_tdp_estimation,samples=2; target=system-wide,2
R000046,T005,S005,28.3,56.6,9288.252,9300.836,26.999,41.998,44.6521,0.012403,19.8461,24.806,400.0,0.004961,cpu_tdp_estimation,samples=2; target=system-wide,2
R000047,T001,S001,20.85,41.7,9482.182,9484.035,23.0505,34.101,34.6259,0.009618,18.0261,16.5998,400.0,0.003847,cpu_tdp_estimation,samples=2; target=system-wide,2
R000048,T001,S001,24.9,49.8,9487.775,9514.738,25.197,38.394,44.8859,0.012468,21.3768,23.5091,400.0,0.004987,cpu_tdp_estimation,samples=2; target=system-wide,2
R000049,T001,S001,29.3,58.6,9654.479,9675.473,27.529,43.058,49.2626,0.013684,21.4738,27.7888,400.0,0.005474,cpu_tdp_estimation,samples=2; target=system-wide,2
R000050,T001,S001,26.15,52.3,9692.725,9767.332,25.8595,39.719,44.596,0.012388,20.6946,23.9014,400.0,0.004955,cpu_tdp_estimation,samples=2; target=system-wide,2
R000051,T001,S001,20.15,40.3,9443.805,9455.672,22.6795,33.359,33.6961,0.00936,17.829,15.8671,400.0,0.003744,cpu_tdp_estimation,samples=2; target=system-wide,2
R000052,T001,S001,28.2,56.4,9417.492,9444.492,26.946,41.892,48.6353,0.01351,21.659,26.9763,400.0,0.005404,cpu_tdp_estimation,samples=2; target=system-wide,2
R000053,T001,S001,22.2,44.4,9568.734,9599.148,23.766,35.532,40.0492,0.011125,20.2217,19.8274,400.0,0.00445,cpu_tdp_estimation,samples=2; target=system-wide,2
R000054,T001,S001,21.2,42.4,9687.131,9776.965,23.236,34.472,39.5936,0.010998,20.4477,19.1459,400.0,0.004399,cpu_tdp_estimation,samples=2; target=system-wide,2
R000055,T001,S001,18.65,37.3,9367.764,9371.918,21.8845,31.769,33.9563,0.009432,18.6193,15.3369,400.0,0.003773,cpu_tdp_estimation,samples=2; target=system-wide,2
R000056,T001,S001,19.15,38.3,9371.219,9383.191,22.1495,32.299,34.2034,0.009501,18.5305,15.6729,400.0,0.0038,cpu_tdp_estimation,samples=2; target=system-wide,2
R000057,T001,S001,17.2,34.4,9366.854,9368.758,21.116,30.232,31.1932,0.008665,17.7268,13.4664,400.0,0.003466,cpu_tdp_estimation,samples=2; target=system-wide,2
R000058,T001,S001,16.275,98.9,9837.204,10168.984,20.626,64.417,2103.9806,0.584439,1224.0742,879.9064,400.0,0.233776,cpu_tdp_estimation,samples=102; target=system-wide,102
R000059,T002,S002,14.577,39.7,9524.331,9664.645,19.7258,33.041,240.8037,0.06689,146.4909,94.3129,400.0,0.026756,cpu_tdp_estimation,samples=13; target=system-wide,13
R000060,T003,S003,18.667,41.2,9557.51,9729.277,21.8933,33.836,246.8416,0.068567,135.2969,111.5448,400.0,0.027427,cpu_tdp_estimation,samples=12; target=system-wide,12
R000061,T004,S004,7.315,63.1,9856.269,9902.805,15.8768,45.443,1627.6964,0.452138,1230.2457,397.4508,400.0,0.180855,cpu_tdp_estimation,samples=102; target=system-wide,102
R000062,T005,S005,6.488,39.5,9772.049,9851.066,15.4388,32.935,1576.0445,0.43779,1225.0031,351.0414,400.0,0.175116,cpu_tdp_estimation,samples=102; target=system-wide,102
R000063,T001,S001,11.068,58.9,9388.772,9840.926,17.8662,43.217,1863.9764,0.517771,1251.9584,612.0181,400.0,0.207108,cpu_tdp_estimation,samples=104; target=system-wide,104
R000064,T002,S002,12.546,87.0,9280.33,9633.441,18.6496,58.11,11915.9365,3.309982,7667.252,4248.6845,400.0,1.323993,cpu_tdp_estimation,samples=56; target=system-wide,56
R000065,T002,S002,8.716,46.0,9518.959,10434.754,16.6193,36.38,1698.4249,0.471785,1226.3502,472.0747,400.0,0.188714,cpu_tdp_estimation,samples=102; target=system-wide,102
R000066,T003,S003,18.589,96.9,9420.846,9610.234,21.8523,63.357,1706803.4028,474.112056,937276.5358,769526.867,400.0,189.644823,cpu_tdp_estimation,samples=65; target=system-wide,65
R000067,T003,S003,37.739,84.3,9709.727,10396.156,32.0016,56.679,3298.1203,0.916145,1236.734,2061.3864,400.0,0.366458,cpu_tdp_estimation,samples=103; target=system-wide,103
R000068,T004,S004,52.043,91.2,9858.28,10109.457,39.5826,60.336,4088.2528,1.135626,1239.4078,2848.845,400.0,0.45425,cpu_tdp_estimation,samples=103; target=system-wide,103
R000069,T005,S005,35.164,69.8,9874.804,10329.629,30.6368,48.994,3145.1032,0.87364,1231.8933,1913.2099,400.0,0.349456,cpu_tdp_estimation,samples=102; target=system-wide,102
R000070,T001,S001,21.318,49.9,9632.081,9878.285,23.2984,38.447,2380.9028,0.661362,1226.3027,1154.6001,400.0,0.264545,cpu_tdp_estimation,samples=102; target=system-wide,102
R000071,T002,S002,10.864,48.1,9250.271,9531.75,17.758,37.493,1827.0853,0.507524,1234.6589,592.4265,400.0,0.203009,cpu_tdp_estimation,samples=103; target=system-wide,103
R000072,T003,S003,9.894,36.1,9108.919,9197.711,17.2439,31.133,1766.104,0.490584,1229.03,537.074,400.0,0.196234,cpu_tdp_estimation,samples=102; target=system-wide,102
R000073,T004,S004,16.348,39.0,9131.859,9586.684,20.6645,32.67,2112.1705,0.586714,1226.5525,885.618,400.0,0.234686,cpu_tdp_estimation,samples=102; target=system-wide,102
R000074,T005,S005,18.654,57.5,9108.557,9305.363,21.8868,42.475,2260.6998,0.627972,1239.4858,1021.214,400.0,0.251189,cpu_tdp_estimation,samples=103; target=system-wide,103
R000075,T001,S001,14.162,64.3,9097.613,9227.141,19.5057,46.079,1990.7696,0.552992,1224.7288,766.0408,400.0,0.221197,cpu_tdp_estimation,samples=102; target=system-wide,102
R000076,T002,S002,5.195,29.4,9059.812,9076.758,14.7534,27.582,1507.3705,0.418714,1226.0525,281.318,400.0,0.167486,cpu_tdp_estimation,samples=102; target=system-wide,102
R000077,T003,S003,10.59,30.5,9059.071,9135.449,17.6128,28.165,1802.6277,0.50073,1228.1709,574.4569,400.0,0.200292,cpu_tdp_estimation,samples=102; target=system-wide,102
R000078,T004,S004,15.029,38.9,9129.853,9346.402,19.9656,32.617,2040.8836,0.566912,1226.6407,814.2429,400.0,0.226765,cpu_tdp_estimation,samples=102; target=system-wide,102
R000079,T005,S005,5.299,30.8,8915.347,8949.98,14.8085,28.324,1513.2899,0.420358,1226.2891,287.0007,400.0,0.168143,cpu_tdp_estimation,samples=102; target=system-wide,102
R000080,T001,S001,6.988,45.4,8909.45,8952.469,15.7038,36.062,1601.6681,0.444908,1223.9114,377.7567,400.0,0.177963,cpu_tdp_estimation,samples=102; target=system-wide,102
